DATAFLOW,LAST UPDATE,freq,unit,icd10,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HR,2019,4.96,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HR,2020,7.1,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HR,2021,5.2,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HR,2022,7.39,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HU,2011,6.96,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HU,2012,5.19,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HU,2013,3.96,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HU,2014,4.31,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HU,2015,5.26,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HU,2016,4.61,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HU,2017,5.5,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HU,2018,5.74,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HU,2019,4.31,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HU,2020,4.1,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HU,2021,5.51,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HU,2022,4.51,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,IE,2011,11.72,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,IE,2012,9.56,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,IE,2013,7.33,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,IE,2014,4.45,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,IE,2015,6.73,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,IE,2016,10.21,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,IE,2017,6.12,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,IE,2018,5.06,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,IE,2019,6.85,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,IE,2020,7.73,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,IE,2021,7.04,,
